Date,QMI_SPX_GOLD,QMI_SPX_BTC,QMI_GOLD_BTC
2022-10-25,0.05965606255175071,0.14975377674527035,0.07200600000280077
2022-10-26,0.05884576619903015,0.15639231115994345,0.0736151971646829
2022-10-27,0.057531389740073324,0.1623607995039551,0.07442027163654807
2022-10-28,0.055751804194557164,0.16700706309785174,0.07425985825589021
2022-10-31,0.05353484971086464,0.1682089426408434,0.07316887612598155
2022-11-01,0.052815836436128194,0.16787864677785003,0.07268602625530984
2022-11-02,0.05396214106823516,0.1676453608444345,0.07478986243108632
2022-11-03,0.058079489215693725,0.16706080196384998,0.08217791267054786
2022-11-04,0.06404952549260212,0.16722080629813452,0.09692462593999973
2022-11-07,0.06927978173916127,0.1689628810502224,0.11405962347300025
2022-11-08,0.07400160179730064,0.17148935169635626,0.13359945203068413
2022-11-09,0.07638647388251185,0.17426795555067998,0.14842253785110437
2022-11-10,0.0775629206052495,0.17767296106510344,0.1596391947782121
2022-11-11,0.07805350333054162,0.18031421520156254,0.16780976107692147
2022-11-14,0.07740067344550239,0.1810491100855185,0.1683999644425821
2022-11-15,0.07312489775229081,0.180138650587215,0.1583879078315078
2022-11-16,0.06797596490172486,0.17750491965958926,0.14225966072053353
2022-11-17,0.06233775029364774,0.17287018942825827,0.12350000782719173
2022-11-18,0.05674186809920445,0.16743119148417662,0.10875608081917609
2022-11-21,0.05177869134708202,0.1614859147044061,0.10004021771251848
2022-11-22,0.046809044612343365,0.1540056285753224,0.09442355201298991
2022-11-23,0.041788573533721785,0.14320838468971397,0.08959876702933067
2022-11-24,0.037107437713152724,0.1298988837819467,0.08259268937393238
2022-11-25,0.033281532238769174,0.11420672155725198,0.07210090235632216
2022-11-28,0.029539307216335464,0.0970208475467208,0.05727820902150993
2022-11-29,0.02599383186355253,0.08117360662082451,0.03985822523519822
2022-11-30,0.022453650627988764,0.06837961607092213,0.02375731822546112
2022-12-01,0.019265879775760553,0.059454886902493675,0.011339007049914751
2022-12-02,0.016643930395233264,0.0546139100544244,0.004195320917901535
2022-12-05,0.01472752982264014,0.053145734393170385,0.001022498052773102
2022-12-06,0.013577329970310359,0.05300626442581047,8.716776197303933e-05
2022-12-07,0.01265289851856266,0.0528949394200634,4.8522927945215955e-05
2022-12-08,0.01159801085912171,0.05218878204191313,0.0004233872312549014
2022-12-09,0.010649304246696079,0.05083570494012335,0.0011919340033108572
2022-12-12,0.009393200125315748,0.04823109618723742,0.0024818925135452474
2022-12-13,0.0076850330769886455,0.04457698226561613,0.004661772988654889
2022-12-14,0.0056816223868290106,0.040700625991197836,0.009173099797052053
2022-12-15,0.0026138485886886276,0.03431943794489434,0.016815878992878175
2022-12-16,0.00022906625650753742,0.027556115144742543,0.02732145297574895
2022-12-19,0.0010000972884126602,0.022407392473240972,0.04005386484969742
2022-12-20,0.005868818569282341,0.019726622190803567,0.052447846118722996
2022-12-21,0.013781448705442179,0.01857831952936473,0.06188913692719766
2022-12-22,0.021805979988028135,0.018375571212668307,0.06895486391826355
2022-12-23,0.028273433835910078,0.018513465562856046,0.07353772485685883
2022-12-26,0.03254314687621829,0.018470977794797006,0.07597626515196698
2022-12-27,0.03474600994768395,0.01827892208662074,0.07680711859894729
2022-12-28,0.035882763237414794,0.0183061779086513,0.07688613303786862
2022-12-29,0.03680507197356764,0.018358430970740303,0.07661898017645641
2022-12-30,0.03794796866160566,0.018113768196710955,0.07583446032860963
2023-01-02,0.03870108558350305,0.01825535385490462,0.07528811477686559
2023-01-03,0.0386448176096843,0.018719982521623435,0.07509752988358176
2023-01-04,0.03773000820273675,0.01961866319614547,0.07521748033982023
2023-01-05,0.03579005601992913,0.02091041366331281,0.07563715272855365
2023-01-06,0.03251087955726728,0.02203290524332402,0.07546079282581575
2023-01-09,0.02777797756305378,0.024676146250568465,0.07759476227203821
2023-01-10,0.021093532661045744,0.028525876546342976,0.08114222746374633
2023-01-11,0.015172792733667229,0.03327738609357922,0.08680620980294651
2023-01-12,0.010962000249989279,0.03913793606289118,0.09800210078378613
2023-01-13,0.00808530120620965,0.04546421740881934,0.11401784074627785
2023-01-16,0.006348200039491658,0.05164072965025479,0.1341532740289897
2023-01-17,0.005281202470307611,0.05717802577830855,0.15447149951486405
2023-01-18,0.00473024964556279,0.06187937590083503,0.1720971678695089
2023-01-19,0.00444740928934384,0.06620810372353214,0.18087563537076523
2023-01-20,0.004235476052990461,0.06820278019336656,0.17957593089311685
2023-01-23,0.0039209531588847435,0.07150615000116989,0.17104580305860084
2023-01-24,0.0033288133276769827,0.07479087462302914,0.15860264512101974
2023-01-25,0.002661410030010969,0.07554118855460779,0.1465384835270791
2023-01-26,0.002282303205410008,0.07409412344010002,0.14087717331446348
2023-01-27,0.0021737084954326358,0.07103712733502843,0.14145116936401236
2023-01-30,0.0022267778538132,0.06776104995106125,0.14628799793323366
2023-01-31,0.0022871705077958104,0.06438055387418629,0.15340814367410405
2023-02-01,0.0023669990067166635,0.06177704858528976,0.1629362235557379
2023-02-02,0.002532706099626303,0.0594469606373661,0.17405752809179897
2023-02-03,0.002550367113598795,0.05662710301577745,0.18570662368520563
2023-02-06,0.0024999906480948075,0.053542234706072556,0.19573337803341317
2023-02-07,0.0025073205541084054,0.05020382783158228,0.2047195921460938
2023-02-08,0.0024658711320664217,0.04656080812765673,0.21123487803510044
2023-02-09,0.002379710970342397,0.04288005319821342,0.21487234336185457
2023-02-10,0.002263609835947644,0.03987789090018934,0.21470618912197192
2023-02-13,0.002217367262713821,0.03707979773675796,0.21283525512634327
2023-02-14,0.0022026657823929208,0.03477167554046501,0.20903412824601575
2023-02-15,0.002227031751764863,0.03388973832568687,0.2058861920737851
2023-02-16,0.002282523662606062,0.034336677610546484,0.20378121569380614
2023-02-17,0.0022748168185260376,0.0349514778880059,0.20293027276505632
2023-02-20,0.0022705244857863516,0.035388176783860414,0.20278033683353064
2023-02-21,0.0022546783338556198,0.035233727810802584,0.20275263864089893
2023-02-22,0.002276884748325214,0.03438198466601361,0.20189515328408247
2023-02-23,0.0024379926155990717,0.03360578151910898,0.1994253726768509
2023-02-24,0.00267356573729971,0.03358623849996378,0.19552571093150595
2023-02-27,0.0029101872876852175,0.03406145040101349,0.18988680599271635
2023-02-28,0.0031703120385917494,0.035017581565065736,0.1832022822785535
2023-03-01,0.0032623754528907645,0.03649194951852386,0.17426565243231973
2023-03-02,0.0031403629713919745,0.03900146203340593,0.16591109772564872
2023-03-03,0.002802508378754842,0.04187752862299077,0.15978011568027295
2023-03-06,0.002394863563647376,0.04448204148185686,0.15532096981632737
2023-03-07,0.0020641977178949,0.04692745736369741,0.1526728711237163
2023-03-08,0.0018334824088961366,0.04879677905521007,0.15132057306196478
2023-03-09,0.001801408259615278,0.049312994842584446,0.15072453669537633
2023-03-10,0.0019024357359984645,0.05002324875952491,0.15015189175043675
2023-03-13,0.002011607027761375,0.05057942829013096,0.14984627319342758
2023-03-14,0.001948459080305387,0.05011737386544424,0.14949342458196513
2023-03-15,0.0016920350996090239,0.04845531500894429,0.14975699319460611
2023-03-16,0.001336613470789505,0.04564676168548698,0.15107663225022605
2023-03-17,0.0010044285517208928,0.0421950837881957,0.15314616163022188
2023-03-20,0.0006610311702760496,0.038153665980823814,0.15664073005485846
2023-03-21,0.00045310714288782084,0.034050439539108246,0.1603281126356596
2023-03-22,0.0003520323283557891,0.029975351645957438,0.16325503269054675
2023-03-23,0.00037417940569617336,0.026681019510419957,0.1673073664968654
2023-03-24,0.0003605780008031356,0.02383025338608724,0.17147128535866174
2023-03-27,0.0003717650474691636,0.021904298351296925,0.17393859104198695
2023-03-28,0.00042826385428984537,0.020960223320893423,0.17428346462485267
2023-03-29,0.00047090627371293436,0.02039265245949584,0.17351565906971433
2023-03-30,0.0005039883321505956,0.01978507567693555,0.1725419659579569
